texte,classe
"Commandez pour moi 20 sachets de sucre de 1kg.",Commande
"Passez ma commande mensuelle habituelle : riz, huile, sucre, savon.",Commande
"Je veux acheter un réfrigérateur 200L disponible en magasin.",Commande
"Livrez-moi 50 bouteilles d'eau plate 1,5L pour un séminaire.",Commande
"Je commande 3 paquets de couches et 2 boîtes de lait bébé.",Commande
"Réservez-moi 10 plateaux de dattes pour l'Aïd.",Commande
"CRITIQUE ! Votre livreur a eu un accident avec ma commande à bord.",Urgence
"SOS : fraude détectée sur mon compte PME, transactions non autorisées !",Urgence
"Urgence sanitaire : produits vendus ce matin rappelés par le fabricant !",Urgence
"URGENT : caisse enregistreuse en panne, clients bloqués en file d'attente !",Urgence
"Alerte immédiate : le camion de livraison est coincé, événement dans 1h !",Urgence
"SOS : rupture totale de gaz dans notre restaurant, service arrêté !",Urgence
"Besoin urgent d'intervention : incendie dans l'entrepôt de stockage !",Urgence
"URGENT : client hospitalisé après consommation d'un produit de votre stock.",Urgence
"Alerte : colis volé par le livreur, j'ai les preuves vidéo !",Urgence
"SOS : commande pour mariage de 500 personnes non livrée, cérémonie dans 3h !",Urgence
